Brand-Name,Audience score,Price,Trail terrain,Shock absorption,Energy return,Traction,Arch support,Weight lab Weight brand,Lightweight,Drop lab Drop brand,Strike pattern,Size,Midsole softness,Difference in midsole softness in cold,Plate,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Lug depth,Heel stack lab Heel stack brand,Forefoot lab Forefoot brand,Widths available,For heavy runners,Season,Removable insole,Orthotic friendly,Waterproofing,Ranking,Popularity
Hoka Zinal 2,84 Good!,3559500 Rp,Moderate,-,-,-,Neutral,7.5 oz / 213g 8 oz / 227g,1,7.2 mm 5.0 mm,Mid/forefoot,Slightly small,Soft,Big,0,Very bad,Good,Decent,Moderate,Narrow,Medium,Stiff,Moderate,Flexible,3.7 mm,29.8 mm 30.0 mm,22.6 mm 25.0 mm,Normal,0,All seasons,1,1,-,#240 Bottom 36%,#226 Bottom 40%
Icebug Järv RB9X,90 Great!,$180,Moderate Technical,Moderate,Moderate,High,Neutral,11.6 oz / 329g 12 oz / 340g,0,6.0 mm 4.0 mm,Mid/forefoot,-,Balanced,Small,0,Good,Decent,Decent,Warm,Medium,Medium,Stiff,Stiff,Moderate,5.0 mm,37.0 mm 29.0 mm,31.0 mm 25.0 mm,Normal,0,All seasons,1,1,-,#61 Top 17%,#378 Bottom 1%
Inov8 Trailfly,88 Great!,$150,Light Moderate,-,-,-,Neutral,9.9 oz / 282g 9.9 oz / 280g,0,6.0 mm 6.0 mm,Mid/forefoot,Slightly small,Soft,Small,Rock plate,Decent,Good,Good,Moderate,Medium,Wide,Stiff,Flexible,Flexible,3.9 mm,30.1 mm 29.0 mm,24.1 mm 23.0 mm,Normal Wide,0,All seasons,1,1,-,#153 Top 41%,#326 Bottom 13%
Inov8 Trailfly,88 Great!,2966250 Rp,Light Moderate,-,-,-,Neutral,9.9 oz / 282g 9.9 oz / 280g,0,6.0 mm 6.0 mm,Mid/forefoot,Slightly small,Soft,Small,Rock plate,Decent,Good,Good,Moderate,Medium,Wide,Stiff,Flexible,Flexible,3.9 mm,30.1 mm 29.0 mm,24.1 mm 23.0 mm,Normal Wide,0,All seasons,1,1,-,#153 Top 41%,#326 Bottom 13%
Inov8 Trailfly Max,69 Bad!,3361750 Rp,Light Moderate,Moderate,Low,High,Neutral,10.2 oz / 289g,0,7.6 mm 6.0 mm,Mid/forefoot,-,Balanced,Small,0,Decent,Decent,Good,Moderate,Medium,Wide,Moderate,Moderate,Flexible,3.4 mm,37.1 mm,29.5 mm,Normal Wide,0,All seasons,1,1,-,#376 Bottom 1%,#363 Bottom 4%
Inov8 Trailfly Zero,87 Great!,3164000 Rp,Light Moderate,Low,Low,High,Neutral,9.4 oz / 266g,0,0.5 mm 0.0 mm,Mid/forefoot,-,Balanced,Small,0,Decent,Decent,Good,Moderate,Medium,Wide,Flexible,Flexible,Flexible,3.4 mm,24.9 mm,24.4 mm,Normal Wide,0,All seasons,1,1,-,#179 Top 48%,#345 Bottom 8%
Inov8 Trailtalon,90 Great!,2966250 Rp,Moderate Technical,-,-,-,Neutral,10.2 oz / 289g 10.2 oz / 290g,0,7.8 mm 6.0 mm,Mid/forefoot,Half size small,Soft,Small,0,Very bad,Good,Good,Warm,Wide,Wide,Stiff,Moderate,Flexible,5.4 mm,34.2 mm 31.0 mm,26.4 mm 25.0 mm,Normal Wide,0,0,1,1,-,#75 Top 20%,#365 Bottom 3%
Kailas Flythorn Air 2.0,90 Great!,3164000 Rp,Light Moderate,-,-,-,Neutral,10.6 oz / 301g 10.3 oz / 291g,0,10.3 mm 10.0 mm,Heel,-,-,-,0,-,-,-,-,Narrow,-,Stiff,Moderate,Stiff,3.0 mm,30.6 mm 29.0 mm,20.3 mm 19.0 mm,Normal,0,-,1,1,-,#59 Top 16%,#376 Bottom 1%
Kailas Fuga DU,81 Good!,3559500 Rp,Moderate,-,-,-,Neutral,10.8 oz / 306g 10.3 oz / 293g,0,11.6 mm 8.0 mm,Heel,-,Balanced,Normal,0,-,-,-,Moderate,Narrow,-,Stiff,Stiff,Stiff,3.2 mm,36.9 mm 36.0 mm,25.3 mm,Wide,0,All seasons,1,1,-,#304 Bottom 19%,#367 Bottom 3%
Kailas Fuga Elite 2,83 Good!,7910000 Rp,Light,-,-,-,Neutral,10.9 oz / 310g 10 oz / 284g,0,12.5 mm 10.0 mm,Heel,-,-,-,Carbon plate,-,-,-,-,Narrow,-,Stiff,Stiff,Moderate,2.5 mm,40.4 mm 41.0 mm,27.9 mm 31.0 mm,Normal,0,-,1,1,-,#264 Bottom 30%,#371 Bottom 2%
Kailas Fuga EX 2,85 Good!,$160,Moderate Technical,-,-,-,Neutral,10.4 oz / 295g 9.5 oz / 270g,0,10.6 mm 8.0 mm,Heel,-,-,-,0,-,-,-,-,Narrow,-,Stiff,Stiff,Stiff,4.0 mm,38.0 mm 36.0 mm,27.4 mm 28.0 mm,Normal,0,-,1,1,-,#456 Bottom 32%,#661 Bottom 1%
Kailas Fuga EX 3,86 Good!,$180,Light Moderate,Moderate,Low,High,Neutral,10.3 oz / 293g 10.1 oz / 285g,0,13.7 mm 8.0 mm,Heel,-,Balanced,Normal,0,Decent,Decent,Good,Moderate,Narrow,Medium,Stiff,Stiff,Stiff,3.4 mm,38.4 mm 36.0 mm,24.7 mm 28.0 mm,Normal,0,All seasons,1,1,-,#200 Bottom 47%,#357 Bottom 5%
Kailas Fuga EX BOA,88 Great!,3361750 Rp,Moderate,-,-,-,Neutral,9.9 oz / 281g 9.6 oz / 272g,0,10.9 mm 8.0 mm,Heel,-,-,-,0,-,-,-,-,Narrow,-,Stiff,Stiff,Stiff,3.7 mm,38.5 mm 36.0 mm,27.6 mm 28.0 mm,Normal Wide,0,-,1,1,-,#135 Top 36%,#368 Bottom 2%
Kailas Fuga EX Pro,81 Good!,6478290 Rp,Light Moderate,Moderate,High,High,Neutral,9.6 oz / 272g 9.7 oz / 275g,0,7.2 mm 5.0 mm,Mid/forefoot,-,Balanced,Small,0,Bad,Decent,Good,Moderate,Narrow,Narrow,Stiff,Stiff,Moderate,3.7 mm,37.9 mm 35.0 mm,30.7 mm 30.0 mm,Normal,0,All seasons,1,1,-,#307 Bottom 18%,#359 Bottom 5%
Kailas Fuga Pro 4,86 Good!,3955000 Rp,Moderate,-,-,-,Neutral,9.8 oz / 279g 9.5 oz / 270g,0,10.0 mm 10.0 mm,Heel Mid/forefoot,-,-,-,0,-,-,-,-,Narrow,-,Stiff,Stiff,Stiff,3.4 mm,31.7 mm 32.0 mm,21.8 mm 22.0 mm,Normal,0,-,1,1,-,#181 Top 48%,#370 Bottom 2%
Kailas Fuga YAO,90 Great!,3164000 Rp,Light,-,-,-,Neutral,10.5 oz / 299g 10.1 oz / 285g,0,10.7 mm,Heel,-,Balanced,Big,Carbon plate,-,-,-,Moderate,Narrow,-,Stiff,Stiff,Stiff,1.7 mm,38.6 mm,27.9 mm,Normal,0,All seasons,1,1,-,#58 Top 16%,#374 Bottom 1%
Kailas Phantom 3.0,90 Great!,2768500 Rp,Light,-,-,-,Neutral,8.9 oz / 253g 8.3 oz / 235g,0,10.5 mm,Heel,-,Balanced,Small,0,-,-,-,Moderate,Narrow,-,Stiff,Moderate,Stiff,1.8 mm,35.5 mm,25.0 mm,Normal,0,All seasons,1,1,-,#60 Top 16%,#377 Bottom 1%
KEEN Seek,90 Great!,$185,Light Moderate,High,Low,High,Neutral,10.8 oz / 305g 10.9 oz / 309g,0,8.6 mm 6.0 mm,Heel Mid/forefoot,-,Soft,Small,0,Good,Good,Good,Moderate,Medium,Wide,Moderate,Moderate,Flexible,4.1 mm,36.3 mm 38.5 mm,27.7 mm 32.5 mm,Normal,0,All seasons,1,1,-,#74 Top 20%,#325 Bottom 14%
La Sportiva Mutant,87 Great!,$165,Technical,-,-,-,Neutral,11.4 oz / 323g 10.7 oz / 303g,0,11.3 mm 10.0 mm,Heel,Half size small,Firm,Small,0,Good,Good,Decent,Moderate,Narrow,Medium,Stiff,Stiff,Moderate,5.0 mm,33.2 mm 26.0 mm,21.9 mm 16.0 mm,Normal,0,All seasons,1,1,-,#163 Top 44%,#269 Bottom 29%
La Sportiva Prodigio,"83
 Good!",$155,Moderate,-,-,-,Neutral,9.6 oz / 271g 9.5 oz / 270g,0,8.9 mm 6.0 mm,HeelMid/forefoot,Half size small,Soft,Normal,0,Very bad,Bad,Decent,Moderate,Medium,Medium,Stiff,Stiff,Stiff,3.4 mm,29.3 mm 34.0 mm,20.4 mm 28.0 mm,Normal,0,All seasons,1,1,-,#275 Bottom 27%,#204 Bottom 46%
La Sportiva Prodigio,83 Good!,$155,Moderate,-,-,-,Neutral,9.6 oz / 271g 9.5 oz / 270g,0,8.9 mm 6.0 mm,Heel Mid/forefoot,Half size small,Soft,Normal,0,Very bad,Bad,Decent,Moderate,Medium,Medium,Stiff,Stiff,Stiff,3.4 mm,29.3 mm 34.0 mm,20.4 mm 28.0 mm,Normal,0,All seasons,1,1,-,#274 Bottom 27%,#203 Bottom 46%
La Sportiva Prodigio,83 Good!,$155,Moderate,-,-,-,Neutral,9.6 oz / 271g 9.5 oz / 270g,0,8.9 mm 6.0 mm,Heel Mid/forefoot,Half size small,Soft,Normal,0,Very bad,Bad,Decent,Moderate,Medium,Medium,Stiff,Stiff,Stiff,3.4 mm,29.3 mm 34.0 mm,20.4 mm 28.0 mm,Normal,0,All seasons,1,1,-,#275 Bottom 27%,#204 Bottom 46%
La Sportiva Prodigio Max,84 Good!,3559500 Rp,Moderate Technical,Moderate,Moderate,High,Neutral,10.8 oz / 306g 10.4 oz / 295g,0,7.1 mm 6.0 mm,Mid/forefoot,-,Balanced,Normal,0,Good,Good,Good,Moderate,Narrow,Narrow,Stiff,Stiff,Moderate,5.5 mm,35.1 mm 37.0 mm,28.0 mm 31.0 mm,Normal,0,All seasons,1,1,-,#246 Bottom 35%,#217 Bottom 42%
Merrell Agility Peak 4,86 Good!,$130,Technical,-,-,-,Neutral,10.3 oz / 292g 10.8 oz / 305g,0,9.3 mm 6.0 mm,Heel Mid/forefoot,Slightly large,Balanced,Small,Rock plate,Decent,Decent,Decent,Moderate,Narrow,Wide,Stiff,Stiff,Stiff,4.4 mm,34.4 mm 30.0 mm,25.1 mm 24.0 mm,Normal,0,All seasons,1,1,-,#380 Bottom 43%,#619 Bottom 8%
Merrell Agility Peak 5,88 Great!,$140,Moderate Technical,Moderate,Low,-,Neutral,10.2 oz / 289g 10.6 oz / 300g,0,13.4 mm 6.0 mm,Heel,True to size,Balanced,Small,Rock plate,Very good,Decent,Good,Moderate,Medium,Narrow,Moderate,Stiff,Stiff,4.5 mm,39.2 mm 39.0 mm,25.8 mm 33.0 mm,Normal,1,All seasons,1,1,-,#152 Top 41%,#96 Top 26%
Merrell Agility Peak 5 GTX,81 Good!,3757250 Rp,Moderate Technical,-,-,-,Neutral,10.4 oz / 296g 10.7 oz / 303g,0,11.6 mm 6.0 mm,Heel,True to size,Balanced,Small,Rock plate,Good,Bad,Decent,Warm,Narrow,Medium,Stiff,Stiff,Stiff,4.4 mm,37.3 mm 39.0 mm,25.7 mm 33.0 mm,Normal,0,Winter,1,1,Waterproof,#315 Bottom 16%,#180 Top 48%
Merrell Antora 3,83 Good!,$125,Light,Moderate,Low,-,Neutral,10.1 oz / 285g,0,9.1 mm,Heel Mid/forefoot,True to size,Balanced,Normal,Rock plate,Decent,Bad,Good,Breathable,Narrow,Medium,Moderate,Stiff,Moderate,3.4 mm,33.5 mm,24.4 mm,Normal,0,Summer All seasons,1,1,-,#280 Bottom 26%,#227 Bottom 40%
Merrell Fly Strike,79 Good!,2373000 Rp,Light,-,-,-,Neutral,10.3 oz / 292g 10.4 oz / 295g,0,17.3 mm 10.0 mm,Heel,True to size,Balanced,Small,0,Good,Decent,Decent,Moderate,Narrow,Wide,Stiff,Stiff,Moderate,3.5 mm,34.3 mm 27.0 mm,17.0 mm 17.0 mm,Normal Wide,0,All seasons,1,1,-,#331 Bottom 12%,#308 Bottom 18%
Merrell Moab Flight,89 Great!,2570750 Rp,Light,-,-,-,Neutral,9.6 oz / 271g 10.6 oz / 300g,0,13.5 mm 10.0 mm,Heel,True to size,Balanced,Normal,0,Good,Good,Good,Warm,Medium,Medium,Moderate,Stiff,Moderate,2.9 mm,32.6 mm 29.0 mm,19.1 mm 19.0 mm,Normal,0,All seasons,1,1,-,#94 Top 25%,#321 Bottom 15%
Merrell Morphlite,87 Great!,2175250 Rp,Light,Moderate,Low,-,Neutral,8.4 oz / 237g 8.6 oz / 243g,1,11.0 mm 6.0 mm,Heel,True to size,Soft,Small,0,Bad,Decent,Decent,Moderate,Narrow,Medium,Moderate,Stiff,Flexible,2.0 mm,32.3 mm 26.0 mm,21.3 mm 20.0 mm,Normal Wide,0,All seasons,1,1,-,#157 Top 42%,#297 Bottom 21%
Merrell Nova 2,85 Good!,2570750 Rp,Moderate Technical,-,-,-,Neutral,10.3 oz / 293g 9.9 oz / 280g,0,9.3 mm 8.0 mm,Heel Mid/forefoot,-,-,-,Rock plate,-,-,-,-,Narrow,-,Stiff,-,-,4.2 mm,35.1 mm 29.0 mm,25.8 mm 21.0 mm,Normal,0,-,0,0,-,#441 Bottom 34%,#464 Bottom 31%
Merrell Nova 3,80 Good!,2669630 Rp,Light Moderate,Moderate,Moderate,-,Neutral,10.8 oz / 305g 10.4 oz / 295g,0,9.9 mm 8.0 mm,Heel Mid/forefoot,True to size,Balanced,Small,Rock plate,Decent,Decent,Good,Moderate,Narrow,Medium,Moderate,Stiff,Flexible,3.5 mm,34.1 mm 29.0 mm,24.2 mm 21.0 mm,Normal Wide,0,All seasons,1,1,-,#605 Bottom 10%,#306 Top 46%
Merrell Nova 4,86 Good!,2966250 Rp,Light Moderate,Moderate,Low,Moderate,Neutral,9.6 oz / 272g 9.7 oz / 275g,0,12.1 mm 8.0 mm,Heel,-,Balanced,Small,0,Decent,Decent,Decent,Moderate,Medium,Medium,Moderate,Stiff,Flexible,4.0 mm,37.7 mm 29.0 mm,25.6 mm 21.0 mm,Normal Wide,0,All seasons,1,1,-,#199 Bottom 47%,#164 Top 44%
Merrell Trail Glove 7,84 Good!,2669630 Rp,Light,-,-,-,Neutral,7.8 oz / 221g 9 oz / 255g,1,0.1 mm 0.0 mm,Mid/forefoot,True to size,Balanced,Normal,0,Decent,Bad,Decent,Moderate,Medium,Wide,Moderate,Flexible,Flexible,2.5 mm,16.1 mm 14.0 mm,16.0 mm 14.0 mm,Normal,0,All seasons,0,0,-,#236 Bottom 37%,#174 Top 46%
New Balance 510 v6,74 Bad!,$90,Light,-,-,-,Neutral,11 oz / 312g 11.5 oz / 326g,0,8.2 mm,Heel Mid/forefoot,True to size,Balanced,Small,0,Decent,Bad,Good,Moderate,Narrow,Medium,Stiff,Moderate,Moderate,2.9 mm,33.8 mm,25.6 mm,Normal Wide X-Wide,0,All seasons,1,1,-,#368 Bottom 2%,#319 Bottom 15%
New Balance DynaSoft Nitrel v6,75 Bad!,1977500 Rp,Light,Low,Low,-,Neutral,10.3 oz / 291g 10.1 oz / 285g,0,2.5 mm 6.0 mm,Mid/forefoot,True to size,Balanced,Small,0,Decent,Decent,Good,Moderate,Medium,Medium,Moderate,Flexible,Moderate,2.7 mm,22.7 mm 27.0 mm,20.2 mm 21.0 mm,Normal Wide X-Wide,0,All seasons,1,1,-,#365 Bottom 3%,#193 Bottom 49%
New Balance Fresh Foam 680 v8,84 Good!,2274130 Rp,-,Moderate,Moderate,High,Neutral,9.2 oz / 261g 9.5 oz / 268g,0,7.8 mm,Mid/forefoot,Slightly small,Soft,Normal,0,Good,Good,Good,Breathable,Medium,Medium,Flexible,Flexible,Moderate,‐,35.4 mm,27.6 mm,Normal Wide X-Wide,0,Summer All seasons,1,1,-,#251 Bottom 33%,#28 Top 8%
New Balance Fresh Foam X 1080 v14,86 Good!,3757250 Rp,-,High,Moderate,High,Neutral,10.1 oz / 285g 10.5 oz / 298g,0,4.2 mm 6.0 mm,Mid/forefoot,True to size,Soft,Normal,0,Good,Decent,Good,Moderate,Medium,Narrow,Moderate,Stiff,Stiff,‐,37.0 mm 38.0 mm,32.8 mm 32.0 mm,Narrow Normal Wide X-Wide,0,All seasons,1,1,-,#185 Top 49%,#5 Top 2%
New Balance Fresh Foam X 880 v15,85 Good!,3164000 Rp,-,Moderate,Moderate,High,Neutral,10.1 oz / 286g 9.9 oz / 281g,0,4.3 mm 6.0 mm,Mid/forefoot,Slightly small,Soft,Small,0,Decent,Good,Decent,Moderate,Medium,Medium,Stiff,Stiff,Stiff,‐,39.7 mm 40.5 mm,35.4 mm 34.5 mm,Narrow Normal Wide X-Wide,0,All seasons,1,1,-,#207 Bottom 45%,#39 Top 11%
New Balance Fresh Foam X Garoe v2,90 Great!,$110,Light,High,Moderate,-,Neutral,9.5 oz / 269g 10.5 oz / 298g,0,11.0 mm 8.0 mm,Heel,-,Soft,Small,0,Decent,Decent,Good,Moderate,Narrow,Medium,Stiff,Stiff,Stiff,3.2 mm,38.4 mm,27.4 mm,Normal,0,All seasons,1,1,-,#54 Top 15%,#120 Top 32%
New Balance Fresh Foam X Hierro v9,84 Good!,$155,Light,High,Moderate,-,Neutral,10.9 oz / 309g 10.5 oz / 297g,0,4.2 mm 4.0 mm,Mid/forefoot,Half size small,Soft,Small,0,Good,Good,Good,Moderate,Medium,Medium,Stiff,Stiff,Moderate,3.3 mm,37.3 mm 33.0 mm,33.1 mm 29.0 mm,Normal Wide X-Wide,0,All seasons,1,1,-,#238 Bottom 37%,#24 Top 7%
New Balance Fresh Foam X More Trail v3,87 Great!,$160,Moderate Technical,High,Moderate,-,Neutral,10.6 oz / 301g 10.6 oz / 301g,0,7.1 mm 4.0 mm,Mid/forefoot,True to size,Soft,Normal,0,Very bad,Decent,-,Moderate,Medium,Narrow,Moderate,Moderate,Moderate,5.0 mm,38.6 mm 39.4 mm,31.5 mm 35.4 mm,Normal Wide,0,All seasons,1,1,-,#169 Top 45%,#30 Top 8%
New Balance Fresh Foam X More v6,89 Great!,3361750 Rp,-,High,Moderate,Moderate,Neutral,10.7 oz / 302g 10.8 oz / 306g,0,3.3 mm 4.0 mm,Mid/forefoot,True to size,Soft,Big,0,Decent,Good,Good,Warm,Medium,Medium,Stiff,Moderate,Moderate,‐,41.8 mm 44.0 mm,38.5 mm 40.0 mm,Narrow Normal Wide X-Wide,0,All seasons,1,1,-,#123 Top 33%,#3 Top 1%
New Balance FuelCell Rebel v4,86 Good!,3164000 Rp,-,High,Moderate,High,Neutral,7.5 oz / 213g 7.7 oz / 218g,1,6.5 mm 6.0 mm,Mid/forefoot,Slightly small,Soft,Big,0,Very bad,Good,Good,Moderate,Medium,Wide,Flexible,Flexible,Flexible,‐,28.0 mm 30.0 mm,21.5 mm 24.0 mm,Normal Wide,0,All seasons,1,1,-,#406 Bottom 39%,#62 Top 10%
New Balance FuelCell Rebel v5,90 Great!,3164000 Rp,-,High,Moderate,High,Neutral,7.8 oz / 220g 7.9 oz / 225g,1,6.3 mm 6.0 mm,Mid/forefoot,True to size,Soft,Small,0,Very bad,Good,Good,Moderate,Medium,Medium,Moderate,Flexible,Moderate,‐,33.0 mm 35.0 mm,26.7 mm 29.0 mm,Normal Wide,0,All seasons,1,1,-,#39 Top 11%,#32 Top 9%
New Balance FuelCell SuperComp Elite v5,92 Superb!,5537000 Rp,-,High,High,High,Neutral,7 oz / 198g 7.5 oz / 213g,1,10.7 mm 8.0 mm,Heel,True to size,Soft,Small,Carbon plate,Very bad,Decent,Decent,Moderate,Medium,Medium,Moderate,Stiff,Flexible,‐,39.3 mm 40.0 mm,28.6 mm 32.0 mm,Normal Wide,0,All seasons,1,1,-,#12 Top 4%,#33 Top 9%
New Balance FuelCell SuperComp Trail,90 Great!,$200,Light Moderate,-,-,-,Neutral,8.7 oz / 248g 8.8 oz / 249g,1,13.0 mm 10.0 mm,Heel,Half size small,Soft,Normal,Carbon plate,Decent,Decent,Good,Moderate,Medium,Medium,Stiff,Stiff,Moderate,2.9 mm,34.7 mm 36.5 mm,21.7 mm 26.5 mm,Normal,0,All seasons,1,1,-,#70 Top 19%,#319 Bottom 15%
New Balance MT10,85 Good!,2373000 Rp,Light,Low,Low,-,Neutral,7.1 oz / 200g 7.2 oz / 204g,1,5.0 mm 4.0 mm,Mid/forefoot,Slightly small,Firm,Small,0,Very good,Decent,Good,Moderate,Narrow,Medium,Flexible,Flexible,Flexible,‐,15.6 mm 14.0 mm,10.6 mm 10.0 mm,Normal,0,All seasons,0,0,-,#212 Bottom 44%,#142 Top 38%
New Balance Tektrel,76 Bad!,$90,Light,-,-,-,Neutral,10.7 oz / 302g 9.9 oz / 282g,0,8.0 mm 8.0 mm,Heel Mid/forefoot,Slightly small,Balanced,Normal,0,Good,Decent,Decent,Breathable,Medium,Wide,Stiff,Moderate,Moderate,2.4 mm,32.2 mm 32.0 mm,24.2 mm 24.0 mm,Normal Wide,0,Summer All seasons,1,1,-,#358 Bottom 5%,#166 Top 44%
Nike Air Zoom Terra Kiger 6,87 Great!,2768500 Rp,Moderate,-,-,-,Neutral,11.2 oz / 317g 10.3 oz / 291g,0,4.4 mm 4.0 mm,Mid/forefoot,-,-,-,Rock plate,-,-,-,-,Wide,-,Stiff,-,-,4.8 mm,19.6 mm 15.0 mm,15.2 mm 11.0 mm,Normal,0,-,0,0,-,#359 Bottom 46%,#600 Bottom 10%
Nike Alphafly 3,88 Great!,6129030 Rp,-,High,High,Moderate,Neutral,7.1 oz / 201g 7 oz / 198g,1,8.5 mm 8.0 mm,Heel Mid/forefoot,Slightly small,Soft,Small,Carbon plate,Very bad,Good,Bad,Breathable,Medium,Medium,Stiff,Stiff,Flexible,‐,38.1 mm 40.0 mm,29.6 mm 32.0 mm,Normal,0,Summer All seasons,0,0,,#136 Top 36%,#23 Top 7%
Nike Juniper Trail 2 GTX,"75
 Bad!",2273680Rp,Light,-,-,-,Neutral,10.3 oz / 293g 11.4 oz / 323g,0,10.2 mm 9.0 mm,Heel,True to size,Firm,Small,0,Very good,Good,Good,Warm,Wide,Wide,Stiff,Stiff,Moderate,2.7 mm,34.5 mm 35.0 mm,24.3 mm 26.0 mm,Normal,0,Winter,1,1,Waterproof,#362 Bottom 4%,#248 Bottom 34%
Nike Pegasus 41,88 Great!,2767950 Rp,-,Moderate,Moderate,Low,Neutral,9.9 oz / 281g 10 oz / 283g,0,11.4 mm 10.0 mm,Heel,True to size,Soft,Normal,0,Decent,Good,Good,Moderate,Medium,Medium,Flexible,Flexible,Stiff,‐,33.6 mm 37.0 mm,22.2 mm 27.0 mm,Normal Wide X-Wide,0,All seasons,1,1,-,#132 Top 35%,#11 Top 3%
Nike Pegasus Premium,83 Good!,4178310 Rp,-,High,High,High,Neutral,10.9 oz / 308g 10.9 oz / 309g,0,11.8 mm 10.0 mm,Heel,Slightly small,Soft,Small,0,Very bad,Good,Decent,Breathable,Narrow,Narrow,Stiff,Stiff,Stiff,‐,42.8 mm 45.0 mm,31.0 mm 35.0 mm,Normal,0,Summer All seasons,1,1,,#267 Bottom 29%,#14 Top 4%
Nike Pegasus Trail 3,90 Great!,$130,Light Moderate,-,-,-,Neutral,10.8 oz / 306g 11.3 oz / 320g,0,10.3 mm 10.0 mm,Heel,True to size,Soft,Big,0,-,-,-,Warm,Medium,-,Stiff,Moderate,Moderate,3.3 mm,35.3 mm 36.0 mm,25.0 mm 26.0 mm,Normal,0,All seasons,1,1,,#92 Top 14%,#413 Bottom 38%
Nike Pegasus Trail 4,88 Great!,$140,Light,High,Low,-,Neutral,9.6 oz / 272g 10.4 oz / 295g,0,12.7 mm 10.0 mm,Heel,True to size,-,-,0,-,-,-,-,Medium,-,Moderate,Flexible,Moderate,3.4 mm,35.5 mm 36.0 mm,22.8 mm 26.0 mm,Normal,0,-,1,1,-,#253 Top 38%,#201 Top 30%
Nike Pegasus Trail 4 GTX,"86
 Good!",$160,LightModerate,-,-,-,Neutral,9.6 oz / 271g 9.6 oz / 272g,0,12.8 mm 10.0 mm,Heel,Slightly small,Soft,Small,0,Good,Good,Good,Warm,Medium,Wide,Stiff,Stiff,Flexible,3.5 mm,37.7 mm 37.0 mm,24.9 mm 27.0 mm,Normal,0,Winter,1,1,Waterproof,#388 Bottom 42%,#388 Bottom 42%
Nike Pegasus Trail 5,89 Great!,$150,Light,High,Moderate,-,Neutral,10.1 oz / 286g 10.1 oz / 286g,0,9.6 mm 9.5 mm,Heel Mid/forefoot,True to size,Soft,Normal,0,Very good,Good,Good,Warm,Medium,Medium,Moderate,Moderate,Stiff,3.2 mm,34.6 mm 37.0 mm,25.0 mm 27.5 mm,Narrow Normal Wide,0,All seasons,1,1,-,#92 Top 25%,#49 Top 13%
Nike Pegasus Trail 5 GTX,"76
 Bad!",$170,Light,Moderate,Moderate,-,Neutral,9.9 oz / 281g 10.6 oz / 300g,0,8.3 mm 9.5 mm,HeelMid/forefoot,Slightly small,Soft,Normal,0,Decent,Bad,Good,Warm,Medium,Wide,Moderate,Stiff,Flexible,3.6 mm,32.1 mm 37.0 mm,23.8 mm 27.5 mm,Normal,0,Winter,1,1,Waterproof,#355 Bottom 6%,#122 Top 33%
Nike Quest 6,"84
 Good!",1591740Rp,-,Low,Low,Moderate,Neutral,10 oz / 283g 10.4 oz / 295g,0,12.0 mm 10.0 mm,Heel,True to size,Balanced,Small,0,Decent,Good,Decent,Moderate,Medium,Medium,Moderate,Flexible,Moderate,‐,35.2 mm,23.2 mm,Normal,0,All seasons,1,1,-,#256 Bottom 32%,#91 Top 25%
Nike Terra Kiger 9,90 Great!,$150,Moderate Technical,-,-,-,Neutral,10.2 oz / 288g 10.1 oz / 286g,,4.4 mm 3.0 mm,Mid/forefoot,True to size,Soft,Normal,0,Very good,Decent,-,Moderate,Medium,Medium,Stiff,Moderate,Moderate,4.4 mm,30.1 mm 31.0 mm,25.7 mm 28.0 mm,Normal,0,All seasons,1,1,-,#41 Top 11%,#317 Bottom 16%
Nike Terra Kiger 9,90 Great!,2966250 Rp,Moderate Technical,-,-,-,Neutral,10.2 oz / 288g 10.1 oz / 286g,0,4.4 mm 3.0 mm,Mid/forefoot,True to size,Soft,Normal,0,Very good,Decent,-,Moderate,Medium,Medium,Stiff,Moderate,Moderate,4.4 mm,30.1 mm 31.0 mm,25.7 mm 28.0 mm,Normal,0,All seasons,1,1,-,#41 Top 11%,#317 Bottom 16%
Nike Ultrafly,89 Great!,$260,Light Moderate,High,High,-,Neutral,10.5 oz / 299g 10.1 oz / 286g,0,11.8 mm 8.5 mm,Heel,True to size,Soft,Small,Carbon plate,Very bad,Good,Good,Moderate,Medium,Wide,Stiff,Stiff,Moderate,3.0 mm,36.6 mm 38.0 mm,24.8 mm 29.5 mm,Normal,0,All seasons,1,1,-,#89 Top 24%,#229 Bottom 39%
Nike Vaporfly 4,91 Superb!,5140480 Rp,-,High,High,High,Neutral,5.9 oz / 166g 6.5 oz / 184g,1,8.6 mm 6.0 mm,Heel Mid/forefoot,True to size,Soft,Small,Carbon plate,Good,Decent,Bad,Moderate,Narrow,Medium,Stiff,Stiff,Flexible,‐,34.1 mm 35.0 mm,25.5 mm 29.0 mm,Normal,0,All seasons,1,1,,#34 Top 9%,#22 Top 6%
Nike Vomero 18,91 Superb!,2984510 Rp,-,High,Moderate,Moderate,Neutral,10.5 oz / 298g 11.5 oz / 325g,0,13.9 mm 10.0 mm,Heel,True to size,Soft,Small,0,Decent,Good,Decent,Moderate,Medium,Narrow,Moderate,Stiff,Moderate,‐,42.5 mm 45.0 mm,28.6 mm 35.0 mm,Normal Wide X-Wide,0,All seasons,1,1,-,#28 Top 8%,#8 Top 3%
